node_routing_core
Input Data length: 21736
x: 33.4459y: -17.0435s: 46.5683579
x: 33.5078y: -17.038s: 46.6304580
x: 33.6307y: -17.0258s: 46.7539581
x: 34.4877y: -16.9416s: 47.6151582
x: 34.6938y: -16.8961s: 47.8261583
x: 34.864y: -16.8617s: 47.9998584
x: 34.8998y: -16.8529s: 48.0367585
x: 34.9356y: -16.844s: 48.0735586
x: 34.9714y: -16.8351s: 48.1104587
x: 35.0072y: -16.8263s: 48.1473588
x: 35.0527y: -16.8207s: 48.1931589
x: 35.0981y: -16.8152s: 48.2389590
x: 35.1436y: -16.8085s: 48.2848591
x: 35.189y: -16.8041s: 48.3305592
x: 35.249y: -16.7963s: 48.391593
x: 35.309y: -16.7875s: 48.4516594
x: 35.369y: -16.7786s: 48.5122595
x: 35.4289y: -16.7697s: 48.5729596
x: 35.4696y: -16.762s: 48.6142597
x: 35.5092y: -16.7542s: 48.6546598
x: 35.5499y: -16.7465s: 48.696599
x: 35.5905y: -16.7376s: 48.7376600
x: 35.6514y: -16.7276s: 48.7993601
x: 35.7124y: -16.7187s: 48.8609602
x: 35.7733y: -16.7088s: 48.9227603
x: 35.8352y: -16.6999s: 48.9852604
x: 35.8759y: -16.6899s: 49.0271605
x: 35.96y: -16.6711s: 49.1133606
x: 36.0026y: -16.6622s: 49.1568607
x: 36.0848y: -16.6434s: 49.2411608
x: 36.1245y: -16.6345s: 49.2818609
x: 36.1641y: -16.6245s: 49.3227610
